name,nametype,class,mass (g),discovery,year
Aachen,Valid,L5,21.0,Fell,1880.0
Achiras,Valid,L6,780.0,Fell,1902.0
Aguada,Valid,L6,1620.0,Fell,1930.0
Ar,Valid,L6,24000.0,Fell,1925.0
Akaba,Valid,L6,779.0,Fell,1949.0
Aleppo,Valid,L6,3200.0,Fell,1873.0
Alfianello,Valid,L6,228000.0,Fell,1883.0
Andover,Valid,L6,3200.0,Fell,1898.0
Andreevka,Valid,L3,600.0,Fell,1969.0
Aomori,Valid,L6,320.0,Fell,1984.0
Apt,Valid,L6,3200.0,Fell,1803.0
Ash Creek,Valid,L6,9500.0,Fell,2009.0
Ashdon,Valid,L6,1300.0,Fell,1923.0
Atarra,Valid,L4,1280.0,Fell,1920.0
Atemajac,Valid,L6,94.2,Fell,1896.0
Atoka,Valid,L6,1384.2,Fell,1945.0
Aumale,Valid,L6,50000.0,Fell,1865.0
Aumieres,Valid,L6,2000.0,Fell,1842.0
Ausson,Valid,L5,50000.0,Fell,1858.0
Awere,Valid,L4,134.0,Fell,1968.0
Aztec,Valid,L6,2830.0,Fell,1938.0
Bachmut,Valid,L6,18000.0,Fell,1814.0
Bald Mountain,Valid,L4,3700.0,Fell,1929.0
Baldwyn,Valid,L6,345.0,Fell,1922.0
Bansur,Valid,L6,15000.0,Fell,1892.0
Banswal,Valid,L5,14.0,Fell,1913.0
Baroti,Valid,L6,4500.0,Fell,1910.0
Barwell,Valid,L5,44000.0,Fell,1965.0
Baszkwka,Valid,L5,15500.0,Fell,1994.0
Bath Furnace,Valid,L6,86000.0,Fell,1902.0
Battle Mountain,Valid,L6,2900.0,Fell,2012.0
Baxter,Valid,L6,611.0,Fell,1916.0
Beni M'hira,Valid,L6,19000.0,Fell,2001.0
Berduc,Valid,L6,270.0,Fell,2008.0
Berlanguillas,Valid,L6,1440.0,Fell,1811.0
Beuste,Valid,L5,2000.0,Fell,1859.0
Bhagur,Valid,L6,18.0,Fell,1877.0
Bherai,Valid,L6,100.0,Fell,1893.0
Black Moshannan Park,Valid,L5,705.0,Fell,1941.0
Blackwell,Valid,L5,2381.0,Fell,1906.0
Blanket,Valid,L6,5100.0,Fell,1909.0
Bocas,Valid,L6,56.0,Fell,1804.0
Bori,Valid,L6,8600.0,Fell,1894.0
Borkut,Valid,L5,7000.0,Fell,1852.0
Botschetschki,Valid,L4,614.0,Fell,1823.0
Boumdeid (2003),Valid,L6,190.0,Fell,2003.0
Boumdeid (2011),Valid,L6,3599.0,Fell,2011.0
Bovedy,Valid,L3,5460.0,Fell,1969.0
Bruderheim,Valid,L6,303000.0,Fell,1960.0
Bursa,Valid,L6,25000.0,Fell,1946.0
Buschhof,Valid,L6,5000.0,Fell,1863.0
Campos Sales,Valid,L5,23680.0,Fell,1991.0
anakkale,Valid,L6,4000.0,Fell,1964.0
Castine,Valid,L6,94.0,Fell,1848.0
Ceniceros,Valid,L3.7,1025.0,Fell,1988.0
Chadong,Valid,L6,3700.0,Fell,1998.0
Chajari,Valid,L5,18300.0,Fell,1933.0
Chandakapur,Valid,L5,8800.0,Fell,1838.0
Chandpur,Valid,L6,1100.0,Fell,1885.0
Chantonnay,Valid,L6,31500.0,Fell,1812.0
Chteau-Renard,Valid,L6,30000.0,Fell,1841.0
Chervettaz,Valid,L5,705.0,Fell,1901.0
Chitenay,Valid,L6,4000.0,Fell,1978.0
Cilimus,Valid,L5,1600.0,Fell,1979.0
Claxton,Valid,L6,1455.0,Fell,1984.0
Clohars,Valid,L4,48.6,Fell,1822.0
Colby (Wisconsin),Valid,L6,104000.0,Fell,1917.0
Coleman,Valid,L6,469.0,Fell,1994.0
Cranganore,Valid,L6,1460.0,Fell,1917.0
Crumlin,Valid,L5,4255.0,Fell,1902.0
Dandapur,Valid,L6,5650.0,Fell,1878.0
Danville,Valid,L6,2000.0,Fell,1868.0
Daule,Valid,L5,6580.0,Fell,2008.0
Deal,Valid,L6,28.0,Fell,1829.0
Delhi,Valid,L5,0.8,Fell,1897.0
Demina,Valid,L6,16400.0,Fell,1911.0
Denver,Valid,L6,230.0,Fell,1967.0
Devri-Khera,Valid,L6,1140.0,Fell,1994.0
Diep River,Valid,L6,1000.0,Fell,1906.0
Dolgovoli,Valid,L6,1600.0,Fell,1864.0
Domanitch,Valid,L5,438.0,Fell,1907.0
Dosso,Valid,L6,1250.0,Fell,1962.0
Drake Creek,Valid,L6,5000.0,Fell,1827.0
Dubrovnik,Valid,L3-6,1900.0,Fell,1951.0
Dunbogan,Valid,L6,30.0,Fell,1999.0
Durala,Valid,L6,13200.0,Fell,1815.0
Duruma,Valid,L6,577.0,Fell,1853.0
Duwun,Valid,L6,2117.0,Fell,1943.0
El Idrissia,Valid,L6,10000.0,Fell,1989.0
El Tigre,Valid,L6,5000.0,Fell,1993.0
Elenovka,Valid,L5,54640.0,Fell,1951.0
Ergheo,Valid,L5,20000.0,Fell,1889.0
Esnandes,Valid,L6,1500.0,Fell,1837.0
Farmington,Valid,L5,89400.0,Fell,1890.0
Fisher,Valid,L6,17600.0,Fell,1894.0
Forksville,Valid,L6,6067.0,Fell,1924.0
Forsyth,Valid,L6,16300.0,Fell,1829.0
Fuhe,Valid,L5,23000.0,Fell,1945.0
Fukutomi,Valid,L5,11620.0,Fell,1882.0
Futtehpur,Valid,L6,4000.0,Fell,1822.0
Gambat,Valid,L6,6400.0,Fell,1897.0
Gashua,Valid,L6,4162.0,Fell,1984.0
Gifu,Valid,L6,14290.0,Fell,1909.0
Girgenti,Valid,L6,18000.0,Fell,1853.0
Git-Git,Valid,L6,480.0,Fell,1947.0
Glatton,Valid,L6,767.0,Fell,1991.0
Granes,Valid,L6,9000.0,Fell,1964.0
Grefsheim,Valid,L5,45.5,Fell,1976.0
Grossliebenthal,Valid,L6,8000.0,Fell,1881.0
Guangrao,Valid,L6,1900.0,Fell,1980.0
Guibga,Valid,L5,288.0,Fell,1972.0
Gurram Konda,Valid,L6,28.0,Fell,1814.0
Hallingeberg,Valid,L3.4,1456.0,Fell,1944.0
Harleton,Valid,L6,8360.0,Fell,1961.0
Harrison County,Valid,L6,680.0,Fell,1859.0
Hedjaz,Valid,L3.7-6,6100.0,Fell,1910.0
High Possil,Valid,L6,4500.0,Fell,1804.0
Hkmark,Valid,L4,305.5,Fell,1954.0
Homestead,Valid,L5,230000.0,Fell,1875.0
Honolulu,Valid,L5,2420.0,Fell,1825.0
Hotse,Valid,L6,180.0,Fell,1956.0
Independence,Valid,L6,880.0,Fell,1917.0
Inner Mongolia,Valid,L6,3000.0,Fell,1963.0
Innisfree,Valid,L5,4576.0,Fell,1977.0
Jackalsfontein,Valid,L6,48000.0,Fell,1903.0
Jartai,Valid,L6,20500.0,Fell,1979.0
Jemlapur,Valid,L6,450.0,Fell,1901.0
Jesenice,Valid,L6,3667.0,Fell,2009.0
Jhung,Valid,L5,5900.0,Fell,1873.0
Jodiya,Valid,L5,100.0,Fell,2006.0
Jumapalo,Valid,L6,32490.0,Fell,1984.0
Junan,Valid,L6,950.0,Fell,1976.0
Kagarlyk,Valid,L6,1900.0,Fell,1908.0
Kakowa,Valid,L6,577.0,Fell,1858.0
Kalumbi,Valid,L6,4500.0,Fell,1879.0
Kamalpur,Valid,L6,2770.0,Fell,1942.0
Kamsagar,Valid,L6,1293.0,Fell,1902.0
Kandahar (Afghanistan),Valid,L6,299.0,Fell,1959.0
Kaprada,Valid,L5/6,1600.0,Fell,2004.0
